direction,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days
SHORT,1994-04-19,1994-09-14,44.36,47.05,-6.064,148
LONG,1994-09-14,1998-09-29,47.05,104.94,123.0393,1476
SHORT,1998-09-29,1998-12-08,104.94,118.41,-12.8359,70
LONG,1998-12-08,1999-11-04,118.41,136.53,15.3028,331
SHORT,1999-11-04,1999-11-11,136.53,138.5,-1.4429,7
LONG,1999-11-11,2000-10-30,138.5,140.53,1.4657,354
SHORT,2000-10-30,2003-05-15,140.53,95.11,32.3205,927
LONG,2003-05-15,2004-08-18,95.11,110.03,15.6871,461
SHORT,2004-08-18,2004-11-05,110.03,117.28,-6.5891,79
LONG,2004-11-05,2006-07-19,117.28,125.69,7.1709,621
SHORT,2006-07-19,2006-09-11,125.69,130.41,-3.7553,54
LONG,2006-09-11,2007-12-21,130.41,148.13,13.5879,466
SHORT,2007-12-21,2009-06-23,148.13,89.35,39.6814,550
LONG,2009-06-23,2010-07-06,89.35,102.87,15.1315,378
SHORT,2010-07-06,2010-10-22,102.87,118.35,-15.0481,108
LONG,2010-10-22,2011-08-12,118.35,118.12,-0.1943,294
SHORT,2011-08-12,2012-01-31,118.12,131.32,-11.1751,172
LONG,2012-01-31,2015-08-28,131.32,199.28,51.7514,1305
SHORT,2015-08-28,2015-12-17,199.28,204.86,-2.8001,111
LONG,2015-12-17,2016-01-11,204.86,192.11,-6.2238,25
SHORT,2016-01-11,2016-04-25,192.11,208.61,-8.5888,105
LONG,2016-04-25,2018-12-07,208.61,263.57,26.3458,956
SHORT,2018-12-07,2019-04-01,263.57,285.83,-8.4456,115
LONG,2019-04-01,2020-03-30,285.83,261.65,-8.4596,364
SHORT,2020-03-30,2020-07-09,261.65,314.38,-20.1529,101
LONG,2020-07-09,2022-03-14,314.38,417.0,32.642,613
SHORT,2022-03-14,2023-02-02,417.0,416.78,0.0528,325
LONG,2023-02-02,2025-04-14,416.78,539.12,29.3536,802
SHORT,2025-04-14,2025-07-01,539.12,617.65,-14.5663,78
LONG,2025-07-01,2026-07-06,617.65,751.28,21.6352,370
