entry_date,exit_date,entry_price,exit_price,return_pct,hold_days
2007-07-06,2007-08-01,152.98,146.43,-4.2816,26
2007-09-21,2007-11-09,151.97,145.14,-4.4943,49
2008-04-15,2008-06-16,133.24,136.23,2.2441,62
2008-08-25,2008-09-16,127.02,122.1,-3.8734,22
2009-01-05,2009-01-30,92.85,82.83,-10.7916,25
2009-04-06,2009-07-09,83.6,88.17,5.4665,94
2009-07-24,2010-02-05,98.06,106.66,8.7701,196
2010-03-11,2010-05-18,115.45,112.4,-2.6418,68
2010-08-02,2010-09-02,112.76,109.47,-2.9177,31
2010-09-22,2011-03-23,113.42,129.66,14.3185,182
2011-04-15,2011-06-06,132.04,129.04,-2.272,52
2011-07-20,2011-08-05,132.65,120.08,-9.4761,16
2011-10-24,2011-12-14,125.49,121.74,-2.9883,51
2011-12-23,2012-05-01,126.39,140.74,11.3537,130
2012-07-09,2012-11-02,135.32,141.56,4.6113,116
2012-12-18,2013-06-28,145.37,160.42,10.3529,192
2013-07-23,2013-09-04,169.14,165.75,-2.0043,43
2013-09-25,2014-02-05,169.04,175.17,3.6264,133
2014-03-04,2014-05-01,187.58,188.33,0.3998,58
2014-05-09,2014-08-12,187.96,193.53,2.9634,95
2014-09-02,2014-10-10,200.61,190.54,-5.0197,38
2014-11-12,2015-01-08,203.96,205.9,0.9512,57
2015-02-17,2015-04-02,210.11,206.44,-1.7467,44
2015-04-09,2015-04-14,208.9,209.49,0.2824,5
2015-04-28,2015-06-24,211.44,210.5,-0.4446,57
2015-08-05,2015-08-18,210.07,209.98,-0.0428,13
2015-10-22,2015-12-22,205.26,203.5,-0.8574,61
2016-03-09,2016-05-25,199.38,209.28,4.9654,77
2016-05-27,2016-09-19,210.24,213.41,1.5078,115
2016-11-22,2017-04-13,220.58,232.51,5.4085,142
2017-05-05,2017-09-07,239.7,246.87,2.9912,125
2017-09-08,2018-02-23,246.58,274.71,11.4081,168
2018-05-17,2018-10-16,272.01,280.4,3.0844,152
2019-02-01,2019-05-29,270.06,278.27,3.0401,117
2019-06-27,2019-08-15,291.5,284.65,-2.3499,49
2019-09-18,2020-03-03,301.1,300.24,-0.2856,167
2020-04-30,2020-09-30,290.48,334.89,15.2885,153
2020-10-21,2021-09-30,342.73,429.14,25.2123,344
2021-10-29,2022-01-25,459.25,434.47,-5.3958,88
2022-04-04,2022-05-02,456.8,414.48,-9.2644,28
2022-08-02,2022-09-16,408.06,385.56,-5.5139,45
2022-11-11,2023-01-03,398.51,380.82,-4.439,53
2023-01-30,2023-03-14,400.59,391.73,-2.2117,43
2023-04-14,2023-08-28,412.46,442.76,7.3462,136
2023-11-20,2024-04-25,454.26,503.49,10.8374,157
2024-05-20,2024-08-09,530.06,532.99,0.5528,81
2024-09-03,2025-01-13,552.08,581.39,5.309,132
2025-02-07,2025-03-07,600.77,575.92,-4.1364,28
2025-05-14,2026-02-27,587.59,685.99,16.7464,289
